player_name,year,avg_points,pos_rank,total_points
Tyler Lockett,2021,12.81,WR13,204.9
John Franklin,2021,0.0,WR0,0.0
Tim Patrick,2021,8.12,WR40,129.9
Dalyn Dawkins,2021,0.0,RB0,0.0
Danny Etling,2021,0.0,QB0,0.0
Chase McLaughlin,2021,5.44,K27,87.0
Dak Prescott,2021,19.98,QB7,319.6
Landen Akers,2021,0.0,WR224,0.0
Isaiah Coulter,2021,0.0,WR224,0.0
David Montgomery,2021,13.38,RB21,174.0
Kene Nwangwu,2021,2.33,RB103,21.0
Ben Skowronek,2021,1.57,WR151,18.8
James Robinson,2021,11.31,RB24,158.4
Davis Webb,2021,-0.3,QB78,-0.3
Baker Mayfield,2021,12.86,QB25,180.1
Gabe Nabers,2021,0.5,RB139,4.0
Aldrick Rosas,2021,3.8,K38,19.0
Dylan Cantrell,2021,0.0,TE0,0.0
Keith Ford,2021,0.0,RB0,0.0
Michael Pittman Jr.,2021,11.45,WR15,194.6
Zack Moss,2021,7.21,RB52,93.7
Tyler Huntley,2021,11.74,QB37,82.2
Maxx Williams,2021,6.66,TE53,33.3
Eric Tomlinson,2021,0.15,TE114,1.2
Chris Rowland,2021,0.0,WR0,0.0
DeAndre Washington,2021,0.0,RB0,0.0
Demetric Felton,2021,2.59,RB83,41.5
Damiere Byrd,2021,4.72,WR110,51.9
Jakeem Grant Sr.,2021,2.27,WR130,34.0
Quintez Cephus,2021,8.38,WR119,41.9
Rod Smith,2021,0.0,RB0,0.0
Khalil Herbert,2021,4.49,RB60,71.9
Alex Ellis,2021,0.0,TE0,0.0
Jordan Veasy,2021,0.0,WR224,0.0
William Fuller V,2021,3.3,WR185,6.6
Durham Smythe,2021,3.53,TE35,53.0
Garrett Griffin,2021,1.18,TE91,5.9
Eli Manning,2021,0.0,QB0,0.0
Larry Fitzgerald,2021,0.0,WR0,0.0
Philip Rivers,2021,0.0,QB0,0.0
Dez Fitzpatrick,2021,3.35,WR162,13.4
Ben Roethlisberger,2021,13.53,QB21,216.5
Darius Jennings,2021,0.0,WR0,0.0
Ben Watson,2021,0.0,TE0,0.0
Tommy Hudson,2021,1.15,TE97,4.6
Matt Gay,2021,9.24,K5,157.0
Matt Schaub,2021,0.0,QB0,0.0
Maurice Ffrench,2021,0.15,WR223,0.3
D.J. Montgomery,2021,1.7,WR192,5.1
Kelvin Harmon,2021,0.0,WR0,0.0
Nate Stanley,2021,0.0,QB0,0.0
Noah Fant,2021,7.81,TE12,125.0
T.J. Hockenson,2021,9.57,TE15,114.8
Dominique Dafney,2021,0.73,TE100,4.4
Jake Funk,2021,0.06,RB164,0.5
Thaddeus Moss,2021,0.0,TE0,0.0
Sean McKeon,2021,1.34,TE83,10.7
Evan Baylis,2021,0.0,TE0,0.0
Auden Tate,2021,2.85,WR168,11.4
Pharaoh Brown,2021,2.05,TE61,26.6
Michael Gallup,2021,8.22,WR79,74.0
Fred Brown,2021,0.0,WR0,0.0
Cedrick Wilson,2021,8.35,WR44,125.2
Clive Walford,2021,0.0,TE0,0.0
John Lovett,2021,0.0,RB0,0.0
Byron Pringle,2021,6.61,WR57,105.8
Justin Watson,2021,0.0,WR224,0.0
Jordan Love,2021,3.45,QB52,20.7
Josh Oliver,2021,0.93,TE82,11.1
Sean Culkin,2021,0.0,TE0,0.0
Hunter Renfrow,2021,12.21,WR11,207.6
Jaeden Graham,2021,0.0,TE0,0.0
Darrynton Evans,2021,2.8,RB148,2.8
Ka'imi Fairbairn,2021,4.92,K29,64.0
Marvin Hall,2021,1.5,WR217,1.5
Paul Perkins,2021,0.0,RB0,0.0
Joshua Perkins,2021,0.0,TE0,0.0
Alexander Hollins,2021,0.0,WR0,0.0
Nelson Agholor,2021,6.06,WR67,84.9
Marcus Johnson,2021,2.9,WR149,20.3
Sutton Smith,2021,0.0,RB167,0.0
Jacoby Brissett,2021,6.53,QB39,71.8
Geremy Davis,2021,0.0,WR0,0.0
Chris Conley,2021,3.83,WR108,53.6
Chase Edmonds,2021,10.15,RB35,121.8
JoJo Natson,2021,0.0,WR224,0.0
Jeff Badet,2021,0.0,WR0,0.0
Jordan Chunn,2021,0.0,RB0,0.0
Tommy Stevens,2021,0.0,TE0,0.0
Jon Brown,2021,0.0,K0,0.0
Nsimba Webster,2021,0.0,WR224,0.0
Emmanuel Butler,2021,0.0,WR0,0.0
Jeff Cotton,2021,0.0,WR224,0.0
JaQuan Hardy,2021,4.45,RB124,8.9
Kyle Sloter,2021,0.0,QB0,0.0
Jalen Richard,2021,1.91,RB110,17.2
Jason Moore,2021,7.1,WR182,7.1
Jacques Patrick,2021,1.2,RB158,1.2
Cyril Grayson,2021,9.9,WR122,39.6
Greg Dortch,2021,1.08,WR190,5.4
Jonnu Smith,2021,3.56,TE34,53.4
Tra Carson,2021,0.0,RB0,0.0
Jason Croom,2021,0.0,TE0,0.0
Nathan Peterman,2021,0.2,QB73,0.2
Jalen Camp,2021,0.0,WR224,0.0
Mason Schreck,2021,0.0,TE0,0.0
Breshad Perriman,2021,5.58,WR136,27.9
Gerrid Doaks,2021,0.0,RB0,0.0
Cooper Rush,2021,6.0,QB50,24.0
Travis Homer,2021,3.84,RB70,53.8
Joe Reed,2021,0.0,WR0,0.0
Taylor Russolino,2021,0.0,K0,0.0
Dezmon Patmon,2021,1.82,WR174,9.1
Ross Dwelley,2021,1.87,TE79,13.1
Phillip Dorsett II,2021,2.9,WR161,14.5
Alvin Kamara,2021,16.25,RB8,211.2
Robert Foster,2021,0.0,WR0,0.0
JuJu Smith-Schuster,2021,5.46,WR137,27.3
Blake Bell,2021,1.09,TE76,14.2
Ben Koyack,2021,0.0,TE0,0.0
Nick Fitzgerald,2021,0.0,QB0,0.0
Ryquell Armstead,2021,5.55,RB122,11.1
Mitchell Wilcox,2021,0.62,TE103,3.1
Easton Stick,2021,0.0,QB0,0.0
Darrius Shepherd,2021,0.0,WR0,0.0
Daurice Fountain,2021,0.0,WR224,0.0
Keelan Cole,2021,4.64,WR92,64.9
Cole McDonald,2021,0.0,QB0,0.0
DeAndre Carter,2021,4.38,WR77,74.5
Kalif Raymond,2021,6.78,WR53,108.4
Dillon Stoner,2021,0.0,WR224,0.0
Justice Hill,2021,0.0,RB0,0.0
Darius Anderson,2021,0.0,RB0,0.0
Gardner Minshew,2021,8.38,QB46,33.5
Dallas Goedert,2021,9.13,TE10,137.0
Keelan Doss,2021,0.0,WR0,0.0
Temarrick Hemingway,2021,0.0,TE119,0.0
C.J. Board,2021,1.28,WR179,7.7
Sewo Olonilua,2021,0.0,RB0,0.0
Chris Manhertz,2021,1.61,TE69,16.1
Anthony Gordon,2021,0.0,QB0,0.0
